"","X","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"58",60,"Dawson",1,"Public","Alley","A","A1","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",26.6,"N","Y","USDA/TC/LM/Mortens",""
"59",61,"Dawson",1,"Public","Alley","A","A1","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",15.5,"N","Y","USDA/TC/LM/Mortens",""
"60",62,"Dawson",1,"Public","Alley","A","A1","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",27.4,"N","Y","USDA/TC/LM/Mortens",""
"61",63,"Dawson",1,"Public","Alley","A","A2","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",27.2,"N","Y","USDA/TC/LM/Mortens",""
"62",64,"Dawson",1,"Public","Alley","A","A2","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",26.8,"N","Y","USDA/TC/LM/Mortens",""
"63",65,"Dawson",1,"Public","Alley","A","A2","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",21.6,"N","Y","USDA/TC/LM/Mortens",""
"64",66,"Dawson",1,"Public","Alley","A","A3","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",34.6,"N","Y","USDA/TC/LM/Mortens",""
"65",67,"Dawson",1,"Public","Alley","A","A4","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",26.2,"N","Y","USDA/TC/LM/Mortens",""
"66",68,"Dawson",1,"Public","Alley","A","A4","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",31,"N","Y","USDA/TC/LM/Mortens",""
"67",69,"Dawson",1,"Public","Alley","A","A6","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",19.3,"N","Y","USDA/TC/LM/Mortens",""
"68",70,"Dawson",1,"Public","Alley","A","A7","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",35.1,"N","Y","USDA/TC/LM/Mortens",""
"69",71,"Dawson",1,"Public","Alley","A","A8","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",34.2,"N","Y","USDA/TC/LM/Mortens",""
"70",72,"Dawson",1,"Public","Alley","A","A8","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",48.1,"N","Y","USDA/TC/LM/Mortens",""
"71",73,"Dawson",1,"Public","Alley","A","A9","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",54.4,"N","Y","USDA/TC/LM/Mortens",""
"72",74,"Dawson",1,"Public","Alley","A","A9","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",6.4,"N","Y","USDA/TC/LM/Mortens",""
"73",75,"Dawson",1,"Public","Alley","A","A9","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",9.8,"N","Y","USDA/TC/LM/Mortens",""
"74",76,"Dawson",1,"Public","Alley","A","A10","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",24.8,"N","Y","USDA/TC/LM/Mortens",""
